drug,disease
5-Aminosalicylate,Inflammatory Bowel Diseases
carboplatin,Malignant neoplasm of breast
dinoprost,Incomplete spontaneous abortion
baclofen,Tinnitus
cobimetinib,Metastatic melanoma
erythromycin estolate,Staphylococcal Infections
propofol,Hypersensitivity
methylphenidate,ADHD (Attention Deficit Hyperactivity Disorder)
iobenguane I-131,Pheochromocytoma
pimobendan,Pulmonary Hypertension
prednisone,Dermatitis Herpetiformis
ciprofloxacin / hydrocortisone,Acute Otitis Externa
chlorphenesin carbamate,Muscle Rigidity
olanzapine,Anorexia Nervosa
meperidine,Labor Pain
indomethacin,Headache
oxybutynin,Hyperhidrosis
artesunate,Neoplasms
lamotrigine,Cyclothymic Disorder
insulin detemir,Diabetes
vitamin A,Retinitis Pigmentosa
ethanol,Ethanol increased
epinephrine,Anaphylaxis
chloroquine hydrochloride,"Malaria, Falciparum"
celecoxib,Degenerative polyarthritis
bleomycin,Diffuse Large B-Cell Lymphoma
opium,Diarrhea
vigabatrin,Spasm
chloramphenicol,Plague
fosfomycin,Septicemia
Carbon,Vegetation
clindamycin,Skin or Soft Tissue Infection
famciclovir,Chronic Infection
dichlorphenamide,Secondary glaucoma
pindolol,Major Depressive Disorder
antipyrine,Fibrosis
prednisolone phosphate,Mycosis Fungoides
enalapril,Acute myocardial infarction
cephalexin anhydrous,Pharyngitis
calcium chloride dihydrate,Hypocalcemia
olanzapine,Manic symptom
terazosin,Benign Prostatic Hyperplasia
camphor oil,Tooth Diseases
fluoxetine,Premenstrual syndrome
urea,Intracranial Hypertension
miconazole / zinc oxide,Diaper Rash
carbamazepine,Mood Disorders
venetoclax,Richter's syndrome
bezafibrate,Primary Biliary Cholangitis
interferon alfa-2b,Polycythemia Vera
Endostatins,Multiple Myeloma
tinidazole,Amebiasis
azathioprine,pathologic fistula
fluticasone propionate,Asthma
sodium salicylate,Seborrheic keratosis
imatinib mesylate,"Leukemia, Myeloid, Chronic-Phase"
imipramine,Enuresis
rofecoxib,Juvenile arthritis
tafenoquine,Babesiosis
lodoxamide,Conjunctivitis
dexamethasone / neomycin / polymyxin b,"Conjunctivitis, Bacterial"
imiquimod,Condylomata Acuminata
permethrin,Pediculus capitis infestation
risperidone,Schizophrenia
evobrutinib,Multiple Sclerosis
diclofenac,Sciatica
losartan,Diabetes Mellitus
lithium,major affective disorder
vitamin A,Common Variable Immunodeficiency
dehydroepiandrosterone,Dyspareunia
gemcitabine,Secondary malignant neoplasm of lung
pamidronic acid,Humoral hypercalcemia of malignancy (disorder)
triamcinolone,Retinal Vein Occlusion
penicillin g sodium,Clostridioides difficile Infection
vinblastine,Testicular Cancer
lumateperone,Schizophrenia
dexamethasone,Acquired thrombocytopenia
amoxicillin / clavulanate,Sinusitis
clemastine,Angioedema
loxapine,Schizophrenia
mitomycin,Solid Neoplasm
clarithromycin,Mycobacterium Infections
hydrocortisone acetate,Synovitis
indomethacin,Frozen Shoulder
bortezomib,Pancreatic carcinoma
